customer_id,date,days_delayed_q20,days_delayed_q50,days_delayed_q80,estimate_amount_percent_q20,estimate_amount_percent_q50,estimate_amount_percent_q80,payment_date,invoice_amount,collected_amount
CUST_A,11/1/2025,-2,0,1,-0.001562166,0.860950977,0.93135544,12/31/2025,24533,21121.71
CUST_A,11/2/2025,-2,0,1,0.025539839,0.88538583,0.928560766,1/1/2026,8827,7815.3
CUST_A,11/3/2025,-2,0,1,0.039846899,0.884061977,0.93109157,1/2/2026,3521,3112.78
CUST_A,11/4/2025,-2,0,1,0.071146503,0.901197166,0.929474083,1/3/2026,11515,10377.29
CUST_A,11/5/2025,-2,0,1,0.080996923,0.900841125,0.933782441,1/4/2026,12412,11181.24
CUST_A,11/6/2025,-2,0,1,0.059377303,0.908669313,0.930528983,1/5/2026,28702,26080.63
CUST_A,11/7/2025,-2,0,1,0.056681349,0.911284677,0.926813531,1/6/2026,18424,16789.51
CUST_A,11/8/2025,-2,0,1,0.051067573,0.914161888,0.933162731,1/7/2026,6188,5656.83
CUST_A,11/9/2025,-2,0,1,0.078396706,0.919466429,0.927652935,1/8/2026,38775,35652.31
CUST_A,11/10/2025,-2,0,1,0.072462998,0.916060314,0.930383203,1/9/2026,39049,35771.24
CUST_A,11/11/2025,-2,0,1,0.072074134,0.920747067,0.928058818,1/10/2026,21526,19820
CUST_A,11/12/2025,-2,0,1,0.057750839,0.922159121,0.926129643,1/11/2026,17680,16303.77
CUST_A,11/13/2025,-2,0,1,0.071717738,0.926765334,0.926040532,1/12/2026,25525,23655.69
CUST_A,11/14/2025,-2,0,1,0.06394551,0.912490212,0.932009414,1/13/2026,32586,29734.41
CUST_A,11/15/2025,-2,0,1,0.04254528,0.89690871,0.932137189,1/14/2026,26716,23961.81
CUST_A,11/16/2025,-2,0,1,0.019235726,0.862106646,0.931287671,1/15/2026,4976,4289.84
CUST_A,11/17/2025,-2,0,1,0.027871861,0.864613554,0.933813822,1/16/2026,27747,23990.43
CUST_A,11/18/2025,-2,0,1,0.025297134,0.879370723,0.930017983,1/17/2026,13462,11838.09
CUST_A,11/19/2025,-2,0,1,0.025815872,0.857926722,0.931569242,1/18/2026,3396,2913.52
CUST_A,11/20/2025,-2,0,1,0.044207701,0.871304837,0.930917013,1/19/2026,33679,29344.68
